source_id	country	layer	status	retrieval	row_count	source_url	reason	collected_at
brazil_mapa_sif_open_data	Brazil	factory_capability	manual_required	MAPA/SIF open data export	0	https://dados.agricultura.gov.br/sl/dataset/servico-de-inspecao-federal-sif/resource/97277e92-264a-4dc0-9aea-f87b8ea93798	Manual official export or parser required	2026-06-02
paraguay_senacsa_faena	Paraguay	factory_capability	no_structured_rows	SENACSA official lists and faena/industrializacion files	0	https://senacsa.gov.py/servicios/servicios-tecnicos/estadisticas/estadisticas-con-datos-abiertos/	No matched official capability rows	2026-06-02
uruguay_inac_mgap	Uruguay	factory_capability	usable	INAC slaughter files and MGAP DIA establishment lists	18	https://www.inac.uy/innovaportal/v/5539/10/innova.front/faena	OK	2026-06-02
argentina_senasa_registros	Argentina	factory_capability	manual_required	SENASA registros / establecimientos habilitados	0	https://www.argentina.gob.ar/senasa/programas-sanitarios/cadenaanimal/bovinos-y-bubalinos/bovinos-y-bubalinos-industria/registros	Manual official export or parser required	2026-06-02
chile_sag_leepp	Chile	factory_capability	manual_required	SAG LEEPP and market habilitation lists	0	https://www.sag.gob.cl/ambitos-de-accion/establecimientos-exportadores-de-productos-pecuarios	Manual official export or parser required	2026-06-02
colombia_invima_carne	Colombia	factory_capability	manual_required	INVIMA meat plant, HACCP, and status lists	0	https://invima.gov.co/productos-vigilados/alimentos/carne	Manual official export or parser required	2026-06-02
