source_id	url_or_file	first_seen	source_type	raw_company_name	normalized_company_name	country	status	reason
auto-uruguay-meats-exporters-frigorifico-las-moras-k9hgtl	https://uymeats.com/product/frigorifico-las-moras/	2026-05-19	official_list	Frigorífico Las Moras	Frigorífico Las Moras	Uruguay	added	新增线索
auto-uruguay-meats-exporters-frigorifico-canelones-4ewacm	https://uymeats.com/product/frigorifico-canelones-s-a/	2026-05-19	official_list	Frigorifico Canelones S.A	Frigorifico Canelones	Uruguay	added	新增线索
auto-uruguay-meats-exporters-marfrig-global-foods-1d5mz2c	https://uymeats.com/product/marfrig-global-foods/	2026-05-19	official_list	Marfrig Global Foods	Marfrig Global Foods	Uruguay	added	新增线索
auto-uruguay-meats-exporters-minerva-foods-1kdf4hc	https://uymeats.com/product/minerva-foods/	2026-05-19	official_list	Minerva Foods	Minerva Foods	Uruguay	added	新增线索
py-senacsa-001	https://example.local/py/a-frigorifico	2026-05-19	official_list	A Frigorifico Paraguay SA	A Frigorifico Paraguay	Paraguay	skipped_dup	重复 URL、注册号或公司+国家
br-weak-001	https://example.local/br/c-subprodutos	2026-05-19	weak_signal	C Subprodutos Bovinos Ltda	C Subprodutos Bovinos	Brazil	skipped_dup	重复 URL、注册号或公司+国家
uy-ref-001	https://example.local/uy/b-exporter	2026-05-19	bill_of_lading	B Exporter Uruguay	B Exporter Uruguay	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
br-excluded-001	https://example.local/br/rumen-trader	2026-05-19	manual_tsv	Rumen Trader Brazil	Rumen Trader Brazil	Brazil	skipped_excluded	只命中排除品类，没有 Omasum 信号
py-dup-001	https://example.local/py/a-frigorifico	2026-05-19	official_list	A Frigorifico Paraguay S.A.	A Frigorifico Paraguay	Paraguay	skipped_dup	重复 URL、注册号或公司+国家
auto-paraguay-senacsa-frigorificos-cooperativa-multiactiva-neuland-fo1ggm	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-1	2026-05-19	official_list	COOPERATIVA MULTIACTIVA NEULAND LTDA.	COOPERATIVA MULTIACTIVA NEULAND	Paraguay	skipped_dup	重复 URL、注册号或公司+国家
auto-paraguay-senacsa-frigorificos-frigorifico-frigomerc-23ysxe	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-2	2026-05-19	official_list	FRIGORIFICO FRIGOMERC S.A.	FRIGORIFICO FRIGOMERC	Paraguay	added	新增线索
auto-paraguay-senacsa-frigorificos-matadero-frigorifico-san-antonio-1op5dre	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-3	2026-05-19	official_list	MATADERO FRIGORIFICO SAN ANTONIO	MATADERO FRIGORIFICO SAN ANTONIO	Paraguay	added	新增线索
auto-paraguay-senacsa-frigorificos-frigorifico-guarani-c-i-1o8l53y	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-7	2026-05-19	official_list	FRIGORIFICO GUARANI S.A.C.I.	FRIGORIFICO GUARANI C I	Paraguay	added	新增线索
auto-paraguay-senacsa-frigorificos-frigorifico-lombardo-rgg5uy	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-8	2026-05-19	official_list	FRIGORIFICO LOMBARDO	FRIGORIFICO LOMBARDO	Paraguay	added	新增线索
auto-paraguay-senacsa-frigorificos-frigochorti-eiaiig	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-9	2026-05-19	official_list	FRIGOCHORTI	FRIGOCHORTI	Paraguay	added	新增线索
auto-paraguay-senacsa-frigorificos-frigorifico-frigochaco-ekanta	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-10	2026-05-19	official_list	FRIGORIFICO FRIGOCHACO	FRIGORIFICO FRIGOCHACO	Paraguay	added	新增线索
auto-paraguay-senacsa-frigorificos-frigorifico-belen-l9q5qz	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-23	2026-05-19	official_list	FRIGORIFICO BELEN	FRIGORIFICO BELEN	Paraguay	added	新增线索
